asset_id,category,asset_name,intended_use,source_type,source_site,source_url,download_url,author_or_vendor,license_name,commercial_use_allowed,attribution_required,modification_allowed,redistribution_allowed,ai_training_restriction,purchase_price,invoice_or_order_id,download_date,license_capture_path,local_file_path,file_format,resolution_or_sample_rate,has_alpha,style_notes,risk_level,approval_status,notes
GEN_CHAR_001,Character,测试版外卖员程序化角色,1分钟高潮测试片,Self Generated,Local,,,,Internal,Yes,No,Yes,No,N/A,0,,2026-06-23,,projects/magic-delivery,React Shape,720x1280,N/A,流程验证用低成本角色,Low,Approved,后续替换为AI生成或分层PSD
GEN_CHAR_002,Character,测试版魔王程序化角色,1分钟高潮测试片,Self Generated,Local,,,,Internal,Yes,No,Yes,No,N/A,0,,2026-06-23,,projects/magic-delivery,React Shape,720x1280,N/A,流程验证用低成本角色,Low,Approved,后续替换为AI生成或分层PSD
SHADIAO_CHAR_DELIVERY_GUY,Character,delivery_guy,1分钟高潮测试片角色替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/character.html,,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/characters/delivery_guy.png,PNG,,Yes,测试片替换用，正式商用前需确认授权,Medium,Candidate,
SHADIAO_CHAR_DEMON_KING,Character,demon_king,1分钟高潮测试片角色替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/character.html,,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/characters/demon_king.png,PNG,,Yes,测试片替换用，正式商用前需确认授权,Medium,Candidate,
SHADIAO_CHAR_HERO,Character,hero,1分钟高潮测试片角色替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/character.html,,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/characters/hero.png,PNG,,Yes,测试片替换用，正式商用前需确认授权,Medium,Candidate,
SHADIAO_BG_CINEMA,Background,cinema,1分钟高潮测试片背景替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/scene.html,https://www.shadiao.cn/uploads/images/20260218131910_69954bcee44a1.png,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/backgrounds/cinema.jpg,JPG,,No,测试片替换用，非最终魔王城美术,Medium,Candidate,
SHADIAO_BG_FACTORY,Background,factory,1分钟高潮测试片背景替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/scene.html,https://www.shadiao.cn/uploads/images/20260218141245_6995585d48076.png,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/backgrounds/factory.jpg,JPG,,No,测试片替换用，非最终魔王城美术,Medium,Candidate,
SHADIAO_BG_EARTH_HOUSE,Background,earth_house,1分钟高潮测试片背景替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/scene.html,https://www.shadiao.cn/uploads/images/20260218141343_69955897153fd.png,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/backgrounds/earth_house.jpg,JPG,,No,测试片替换用，非最终魔王城美术,Medium,Candidate,
SHADIAO_FX_HIT_STAR,FX,hit_star,1分钟高潮测试片特效替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/effect.html,,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/fx/hit_star/frame-000.png,GIF extracted to PNG sequence,,Yes,测试片替换用，正式商用前需确认授权,Medium,Candidate,
SHADIAO_FX_DUST,FX,dust,1分钟高潮测试片特效替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/effect.html,,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/fx/dust/frame-000.png,GIF extracted to PNG sequence,,Yes,测试片替换用，正式商用前需确认授权,Medium,Candidate,
SHADIAO_FX_SWEAT,FX,sweat,1分钟高潮测试片特效替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/effect.html,,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/fx/sweat/frame-000.png,GIF extracted to PNG sequence,,Yes,测试片替换用，正式商用前需确认授权,Medium,Candidate,
SHADIAO_FX_SPEED_SMOKE,FX,speed_smoke,1分钟高潮测试片特效替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/effect.html,,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/fx/speed_smoke/frame-000.png,GIF extracted to PNG sequence,,Yes,测试片替换用，正式商用前需确认授权,Medium,Candidate,
SHADIAO_FX_SMOKE_RING,FX,smoke_ring,1分钟高潮测试片特效替换,Free Candidate,shadiao.cn,https://www.shadiao.cn/effect.html,,沙雕动画素材网,Site says free download; footer says All rights reserved,Unclear,Unclear,Unclear,Unclear,,0,,2026-06-23,,public/magic-delivery/fx/smoke_ring/frame-000.png,GIF extracted to PNG sequence,,Yes,测试片替换用，正式商用前需确认授权,Medium,Candidate,
